timestamp,action,price,pnl
2022-07-27 11:15:00+05:30,BUY,2566.85,0.0
2022-07-27 12:10:00+05:30,SELL,2583.85,490.0
2022-07-28 10:55:00+05:30,BUY,2595.0,0.0
2022-07-28 12:20:00+05:30,SELL,2619.9,727.0
2022-07-28 14:25:00+05:30,BUY,2617.35,0.0
2022-07-28 15:15:00+05:30,SELL,2621.85,115.0
2022-08-02 10:30:00+05:30,BUY,2614.0,0.0
2022-08-02 14:05:00+05:30,SELL,2628.0,400.0
2022-08-03 09:45:00+05:30,BUY,2638.4,0.0
2022-08-03 10:55:00+05:30,SELL,2624.75,-429.5
2022-08-04 09:35:00+05:30,BUY,2625.1,0.0
2022-08-04 13:10:00+05:30,SELL,2627.05,38.5
2022-08-04 13:35:00+05:30,BUY,2630.0,0.0
2022-08-04 15:15:00+05:30,SELL,2626.0,-140.0
2022-08-05 10:30:00+05:30,BUY,2641.5,0.0
2022-08-05 15:15:00+05:30,SELL,2645.5,100.0
2022-08-08 11:25:00+05:30,BUY,2642.0,0.0
2022-08-08 15:15:00+05:30,SELL,2650.8,244.0
2022-08-24 13:40:00+05:30,BUY,2590.0,0.0
2022-08-24 15:15:00+05:30,SELL,2589.0,-50.0
2022-08-29 11:20:00+05:30,BUY,2592.65,0.0
2022-08-29 12:55:00+05:30,SELL,2577.0,-489.5
2022-09-07 10:10:00+05:30,BUY,2581.75,0.0
2022-09-07 11:30:00+05:30,SELL,2568.7,-411.5
2022-09-08 14:00:00+05:30,BUY,2574.9,0.0
2022-09-08 15:15:00+05:30,SELL,2574.0,-47.0
2022-09-09 11:25:00+05:30,BUY,2628.55,0.0
2022-09-09 12:10:00+05:30,SELL,2613.9,-459.5
2022-09-12 14:10:00+05:30,BUY,2587.65,0.0
2022-09-12 15:15:00+05:30,SELL,2580.9,-222.5
2022-09-13 09:40:00+05:30,BUY,2589.0,0.0
2022-09-13 10:15:00+05:30,SELL,2603.0,400.0
2022-09-13 12:05:00+05:30,BUY,2598.0,0.0
2022-09-13 14:20:00+05:30,SELL,2585.0,-410.0
2022-09-14 10:45:00+05:30,BUY,2588.35,0.0
2022-09-14 13:10:00+05:30,SELL,2596.05,211.0
2022-09-16 14:25:00+05:30,BUY,2544.55,0.0
2022-09-16 15:15:00+05:30,SELL,2527.8,-522.5
2022-09-19 12:35:00+05:30,BUY,2537.95,0.0
2022-09-19 13:40:00+05:30,SELL,2557.8,575.5
2022-09-22 12:15:00+05:30,BUY,2661.35,0.0
2022-09-22 12:35:00+05:30,SELL,2673.4,341.5
2022-09-23 10:10:00+05:30,BUY,2702.2,0.0
2022-09-23 12:40:00+05:30,SELL,2687.0,-476.0
2022-09-26 13:50:00+05:30,BUY,2689.65,0.0
2022-09-26 14:10:00+05:30,SELL,2675.45,-446.0
2022-09-27 13:10:00+05:30,BUY,2696.25,0.0
2022-09-27 13:45:00+05:30,SELL,2676.8,-603.5
2022-09-28 10:00:00+05:30,BUY,2687.75,0.0
2022-09-28 13:55:00+05:30,SELL,2691.15,82.0
2022-09-29 09:30:00+05:30,BUY,2706.35,0.0
2022-09-29 11:55:00+05:30,SELL,2710.0,89.5
2022-09-30 14:05:00+05:30,BUY,2685.0,0.0
2022-09-30 15:15:00+05:30,SELL,2695.65,299.5
2022-10-07 14:15:00+05:30,BUY,2603.45,0.0
2022-10-07 15:15:00+05:30,SELL,2599.95,-125.0
2022-10-10 14:05:00+05:30,BUY,2586.8,0.0
2022-10-10 15:15:00+05:30,SELL,2608.0,616.0
2022-10-11 11:25:00+05:30,BUY,2586.35,0.0
2022-10-11 12:40:00+05:30,SELL,2568.45,-557.0
2022-10-12 11:40:00+05:30,BUY,2570.0,0.0
2022-10-12 11:45:00+05:30,SELL,2579.15,254.5
2022-10-12 13:15:00+05:30,BUY,2588.0,0.0
2022-10-12 13:55:00+05:30,SELL,2603.15,434.5
2022-10-14 10:55:00+05:30,BUY,2603.65,0.0
2022-10-14 12:50:00+05:30,SELL,2589.55,-443.0
2022-10-17 11:25:00+05:30,BUY,2590.2,0.0
2022-10-17 15:15:00+05:30,SELL,2588.7,-65.0
2022-10-19 12:10:00+05:30,BUY,2599.75,0.0
2022-10-19 15:15:00+05:30,SELL,2581.85,-557.0
2022-10-20 09:30:00+05:30,BUY,2594.95,0.0
2022-10-20 11:30:00+05:30,SELL,2596.75,34.0
2022-10-20 12:15:00+05:30,BUY,2598.95,0.0
2022-10-20 15:15:00+05:30,SELL,2600.05,13.0
2022-10-21 12:35:00+05:30,BUY,2649.8,0.0
2022-10-21 15:15:00+05:30,SELL,2648.4,-62.0
2022-11-01 13:35:00+05:30,BUY,2567.9,0.0
2022-11-01 15:15:00+05:30,SELL,2551.95,-498.5
2022-11-03 09:30:00+05:30,BUY,2519.0,0.0
2022-11-03 11:15:00+05:30,SELL,2531.8,364.0
2022-11-03 12:25:00+05:30,BUY,2531.55,0.0
2022-11-03 15:15:00+05:30,SELL,2547.45,457.0
2022-11-07 10:15:00+05:30,BUY,2530.2,0.0
2022-11-07 13:10:00+05:30,SELL,2517.5,-401.0
2022-11-16 14:15:00+05:30,BUY,2458.0,0.0
2022-11-16 14:25:00+05:30,SELL,2466.75,242.5
2022-11-17 10:35:00+05:30,BUY,2482.8,0.0
2022-11-17 12:35:00+05:30,SELL,2469.1,-431.0
2022-11-18 09:30:00+05:30,BUY,2466.0,0.0
2022-11-18 10:15:00+05:30,SELL,2450.5,-485.0
2022-11-18 12:55:00+05:30,BUY,2463.0,0.0
2022-11-18 15:15:00+05:30,SELL,2482.35,560.5
2022-11-21 10:35:00+05:30,BUY,2489.95,0.0
2022-11-21 13:20:00+05:30,SELL,2502.1,344.5
2022-11-22 12:00:00+05:30,BUY,2519.05,0.0
2022-11-22 15:15:00+05:30,SELL,2518.0,-51.5
2022-11-23 11:15:00+05:30,BUY,2512.45,0.0
2022-11-23 13:40:00+05:30,SELL,2518.25,154.0
2022-11-23 13:45:00+05:30,BUY,2519.85,0.0
2022-11-23 15:15:00+05:30,SELL,2505.35,-455.0
2022-11-25 13:50:00+05:30,BUY,2532.0,0.0
2022-11-25 15:15:00+05:30,SELL,2537.85,155.5
2022-11-28 09:35:00+05:30,BUY,2534.3,0.0
2022-11-28 15:15:00+05:30,SELL,2525.0,-299.0
2022-11-29 14:25:00+05:30,BUY,2618.0,0.0
2022-11-29 15:15:00+05:30,SELL,2635.75,512.5
2022-11-30 10:05:00+05:30,BUY,2636.95,0.0
